suite,id,name,status,severity,detail
Used Inventory,UC-INV-01,"Seed has used cars",PASS,—,"29 used of 92 total"
Used Inventory,UC-INV-02,"No 2005 model-year cars in seed",PASS,—,"2005 count=0"
Used Cars P0,UC-SS-01,"New Town snaps to Kolkata (alias) with inventory",PASS,P0,"snap(New Town)=Kolkata; Kolkata used=2; alias_in_code=True"
Used Cars P0,UC-SS-01b,"City=New Town (snapped) returns used cars",PASS,P0,"results=2 after New Town→Kolkata"
Used Cars P0,UC-SS-02,"yearTo default is currentYear and present in yearOptions",PASS,P0,"yearTo=signal(getFullYear)=True; yearOptions ends ~2027; selected binding=True"
Used Cars P0,UC-SS-03,"Default year 2005→currentYear returns used inventory",PASS,P0,"results=29 / used=29"
Used Cars P0,UC-SS-04,"Active filter strip shows city + year chips",PASS,P0,"city_chip=True; year_chips=True"
Used Cars P0,UC-CT-02,"clearAllFilters clears CityService (navbar city)",PASS,P0,"clearCity in component+service=True"
Used Cars P0,UC-CT-01,"Empty city auto-overrides to All India (effectiveCity='')",PASS,P0,"override_logic=True; Rourkela used=0; override results=29"
Used Cars P0,UC-SS-05,"Empty state has city-specific CTA + Clear All",PASS,P0,"empty-state Show All India + Clear All Filters"
Used Cars P1,UC-INV-04,"Bengaluru aliases to Bangalore seed city",PASS,P1,"snap=Bangalore; results=4; cityOptions Bangaluru→Bangalore=True"
Used Cars P1,UC-CT-04,"cityOptions uses Bangalore (matches seed)",PASS,P1,"cityOptions aligned with seed city names"
Used Cars P1,UC-VR-01,"Card verdict labels are Fair Deal / Overpriced / Good Price",PASS,P1,"verdictLabel ok; stats banner still AI-Verified=True"
Used Cars Remaining,UC-REM-01,"All-India soft banner visible after auto-override",FAIL,P2,"showAllIndiaBanner requires !allIndiaOverride — banner hidden exactly when override activates (auto empty-city path)"
Used Cars Remaining,UC-REM-02,"Empty state links to AI Advisor",FAIL,P2,"No Advisor CTA in used-cars empty state"
Used Cars Remaining,UC-REM-03,"Filter state written back to URL",FAIL,P2,"Reads queryParams on init; no navigate write-back of filters"
Used Filter Scenarios,UC-SC-01,"All India default",PASS,—,"results=29 expect_some=True"
Used Filter Scenarios,UC-SC-02,"City Kolkata",PASS,—,"results=2 expect_some=True"
Used Filter Scenarios,UC-SC-03,"Make Maruti Suzuki",PASS,—,"results=7 expect_some=True"
Used Filter Scenarios,UC-SC-04,"Budget under 10L",PASS,—,"results=10 expect_some=True"
Used Filter Scenarios,UC-SC-05,"Year 2020–2024",PASS,—,"results=29 expect_some=True"
Used Filter Scenarios,UC-SC-06,"Fuel Diesel",PASS,—,"results=9 expect_some=True"
Used Filter Scenarios,UC-SC-07,"Body SUV",PASS,—,"results=19 expect_some=True"
Used Filter Scenarios,UC-SC-08,"Year 2005–2005 empty",PASS,—,"results=0 expect_some=False"
