id,severity,area,screen,category,problem
MOB-001,BLOCKER,Platform,iOS,Missing Feature,No iOS Capacitor project exists; only Android WebView shell under apps/gaadiiq-angular/android.
MOB-002,BLOCKER,Architecture,Auth (all),Security/Architecture,"Dual auth stacks: Angular uses Supabase Auth; FastAPI uses RS256 JWT. Mobile UI does not obtain FastAPI tokens, so many API routes (payments, loans inquiries, notifications, diagnosis history) are unreachable or broken from the app."
MOB-003,BLOCKER,Payments,Pricing Plans / Feature Listing,Missing Feature,No Razorpay checkout wired in Angular despite API /payments/* and marketing copy claiming UPI/cards/EMI via Razorpay.
MOB-004,BLOCKER,Mobile Native,App shell,Architecture,"Capacitor app is a bare WebView wrap: no Camera, Geolocation, Push, Preferences, or Filesystem plugins; package.json has no cap sync/run scripts."
MOB-005,CRITICAL,Security,AndroidManifest,Security,"android:allowBackup=""true"" allows ADB backup of WebView data including localStorage (wishlist, journey, possibly session fragments)."
MOB-006,CRITICAL,Security,Network,Security,No SSL/certificate pinning and no Network Security Config; MITM on user devices possible for API/Supabase traffic.
MOB-007,CRITICAL,Security,AI Diagnosis API,Security,GET /diagnosis/{id} is unauthenticated → IDOR: anyone with UUID can read another user's diagnosis (vehicle + symptoms).
MOB-008,CRITICAL,Security,AI modules,AI/Security,User-controlled text interpolated into LLM prompts with no sanitisation/injection fence — prompt injection risk; HLD claims sanitisation but code lacks it.
MOB-009,CRITICAL,Auth,Registration / Login,Missing Feature,OTP / phone SMS authentication does not exist. Register may collect phone but AuthService.register() never uses verifyOtp.
MOB-010,CRITICAL,Permissions,City / Diagnosis geolocation,Security/Mobile,App uses navigator.geolocation but AndroidManifest declares only INTERNET — no ACCESS_FINE_LOCATION / COARSE.
MOB-011,CRITICAL,Auth Bridge,API calls,API,ApiService.submitLoanInquiry hits /loans/inquiry but API exposes /loans/inquiries — broken loan lead capture.
MOB-012,CRITICAL,RBAC,Dealer/Admin,Security,sellerGuard is client-side only. FastAPI dealer endpoints use soft Dealer-row checks; any user can POST /dealers/register. Role enums diverge (seller vs dealer).
