id,area,priority,requirement,status,evidence,gap,justification
BR-VI-01,Vehicle Info,Must Have,Manual vehicle information entry,PASS,Angular Step 1 form (make/model/year/fuel/transmission),—,Baseline path for users who prefer typing
BR-VI-02,Vehicle Info,Must Have,Voice-based vehicle information entry,PASS,voice-mode overlay + Web Speech STT,—,Hands-free capture for drivers / literacy barriers
BR-VI-03,Vehicle Info,Must Have,Auto-extract vehicle details from speech,PASS,vehicle-info-extractor + POST /diagnosis/voice/extract,—,Reduce form friction after speech
BR-VI-04,Vehicle Info,Must Have,Auto-fill of vehicle information,PASS,onVoiceCompleted merges into form signals,—,Keep single source of truth for review step
BR-VI-05,Vehicle Info,Must Have,Intelligent validation,PASS,step1Valid + Pydantic DiagnoseRequest,—,Prevent invalid analyse payloads
BR-VI-06,Vehicle Info,Must Have,Missing information prompts,PASS,voice-mode _askMissingFields TTS loop,—,Complete mandatory vehicle fields before analyse
BR-IR-01,Issue Reporting,Must Have,Report issue using text,PASS,Step 2 textarea problem_description,—,Primary symptom capture
BR-IR-02,Issue Reporting,Must Have,Report issue using voice,PASS,Step 2 mic toolbar + overlay problem phase,—,Speak symptoms in native language
BR-IR-03,Issue Reporting,Must Have,Upload vehicle images,PASS,POST /upload/image → image_urls,—,Visual context for vision + mechanic handoff
BR-IR-04,Issue Reporting,Must Have,Upload audio recordings,FAIL,DB/schema audio_url exists; unused,No POST /upload/audio or Step 2 UI,Engine noise / rattles improve diagnosis
BR-IR-05,Issue Reporting,Must Have,Upload videos,FAIL,DB/schema video_url exists; unused,No video upload API/UI,Capture intermittent symptoms
BR-IR-06,Issue Reporting,Must Have,Select dashboard warning lights,PASS,WARNING_LIGHTS chips in Step 2,—,Structured symptom signals
BR-IR-07,Issue Reporting,Should Have,Add maintenance history,FAIL,Not in form/API/model,Add maintenance_history JSON field,Prior service context
BR-ML-01,Multilingual,Must Have,Automatic language detection,PARTIAL,detectLanguageFromText exists client-side,Wire Auto-detect toggle into voice session,Users may not know BCP-47 codes
BR-ML-02,Multilingual,Must Have,Support major Indian languages,PASS,11 VOICE_LANGUAGES in picker,PROMPTS fully localized for 6 only,India language coverage
BR-ML-03,Multilingual,Must Have,Preserve user language in conversation,PASS,gq_voice_lang + detected_language,—,Consistent journey language
BR-ML-04,Multilingual,Must Have,AI responses match user language,PARTIAL,_translate_diagnosis via Ollama,Golden-set QA; English fallback banner,Trust for non-English users
BR-VA-01,Voice AI,Must Have,Speech-to-Text,PARTIAL,Browser Web Speech API only,Server STT + MediaRecorder for WebView,Production Android/iOS reliability
BR-VA-02,Voice AI,Must Have,Text-to-Speech,PARTIAL,speechSynthesis only,Optional server TTS; keep client fallback,Playback on devices with weak voices
BR-VA-03,Voice AI,Must Have,Live transcription,PASS,interimText in voice overlay,—,User confidence while speaking
BR-VA-04,Voice AI,Should Have,Voice playback,PASS,Auto-speak report + TTS bar,—,Listen to diagnosis
BR-VA-05,Voice AI,Should Have,Replay,PASS,replaySpeaking(),—,Re-hear instructions
BR-VA-06,Voice AI,Should Have,Pause,PASS,pauseSpeaking(),—,Interruptible playback
BR-VA-07,Voice AI,Should Have,Stop,PASS,stop STT/TTS controls,—,Immediate silence
BR-VA-08,Voice AI,Should Have,Hands-free mode,PARTIAL,Auto-listen after TTS,Always-on driving mode,Parked/driving safety
BR-VA-09,Voice AI,Should Have,Driver-friendly interaction,PARTIAL,Large overlay UI,Driving mode + RECORD_AUDIO,"Large targets, reduced glances"
BR-AI-01,AI Diagnosis,Must Have,Ollama LLM integration,PASS,services/diagnosis.py run_diagnosis,—,Primary LLM path
BR-AI-02,AI Diagnosis,Must Have,RAG knowledge base,PARTIAL,Keyword match on repair_knowledge.json (12 cases),Vector RAG over KB (Qdrant/BGE unused),Grounded repair advice
BR-AI-03,AI Diagnosis,Must Have,Root cause prediction,PASS,possible_causes[],—,Core diagnosis value
BR-AI-04,AI Diagnosis,Must Have,Severity prediction,PASS,risk_level,—,Urgency signalling
BR-AI-05,AI Diagnosis,Must Have,Safe-to-drive recommendation,PASS,safe_to_drive + UI warning,—,Safety-critical output
BR-AI-06,AI Diagnosis,Must Have,Estimated repair cost,PASS,cost_min_inr / cost_max_inr,—,Budget transparency
BR-AI-07,AI Diagnosis,Must Have,Estimated repair duration,PASS,repair_time_estimate,—,Time planning
